"player","player_fuzzy_cricketdata","team","merge_team","season","player_fuzzy_ipl_contracts"
"Basil Thampi","B  Thampi","Sunrisers Hyderabad","sunrisers hyderabad","2019","B  Thampi"
"Basil Thampi","B  Thampi","Sunrisers Hyderabad","sunrisers hyderabad","2020","B  Thampi"
"Basil Thampi","B  Thampi","Mumbai Indians","mumbai indians","2022","B  Thampi"
"CJ Anderson","C  Anderson","Delhi Daredevils","delhi daredevils","2017","C  Anderson"
"CR Brathwaite","C  Brathwaite","Delhi Daredevils","delhi daredevils","2017","C  Brathwaite"
"CR Brathwaite","C  Brathwaite","Sunrisers Hyderabad","sunrisers hyderabad","2018","C  Brathwaite"
"CR Brathwaite","C  Brathwaite","Kolkata Knight Riders","kolkata knight riders","2019","C  Brathwaite"
"CH Gayle","C  Gayle","Royal Challengers Bangalore","royal challengers bangalore","2017","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2018","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2019","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2020","C  Gayle"
"CH Gayle","C  Gayle","Punjab Kings","punjab kings","2021","C  Gayle"
"C de Grandhomme","C  Grandhomme","Royal Challengers Bangalore","royal challengers bangalore","2018","C  Grandhomme"
"C de Grandhomme","C  Grandhomme","Royal Challengers Bangalore","royal challengers bangalore","2019","C  Grandhomme"
"CJ Green","C  Green","Kolkata Knight Riders","kolkata knight riders","2020","C  Green"
"C Green","C  Green","Mumbai Indians","mumbai indians","2023","C  Green"
"CA Ingram","C  Ingram","Delhi Capitals","delhi capitals","2019","C  Ingram"
"CJ Jordan","C  Jordan","Sunrisers Hyderabad","sunrisers hyderabad","2017","C  Jordan"
"CJ Jordan","C  Jordan","Sunrisers Hyderabad","sunrisers hyderabad","2018","C  Jordan"
"CJ Jordan","C  Jordan","Punjab Kings","punjab kings","2020","C  Jordan"
"CJ Jordan","C  Jordan","Punjab Kings","punjab kings","2021","C  Jordan"
"CJ Jordan","C  Jordan","Chennai Super Kings","chennai super kings","2022","C  Jordan"
"CA Lynn","C  Lynn","Kolkata Knight Riders","kolkata knight riders","2017","C  Lynn"
"CA Lynn","C  Lynn","Kolkata Knight Riders","kolkata knight riders","2018","C  Lynn"
"CA Lynn","C  Lynn","Kolkata Knight Riders","kolkata knight riders","2019","C  Lynn"
"CA Lynn","C  Lynn","Mumbai Indians","mumbai indians","2021","C  Lynn"
"CH Morris","C  Morris","Delhi Daredevils","delhi daredevils","2017","C  Morris"
"CH Morris","C  Morris","Delhi Daredevils","delhi daredevils","2018","C  Morris"
"CH Morris","C  Morris","Delhi Capitals","delhi capitals","2019","C  Morris"
"CH Morris","C  Morris","Royal Challengers Bangalore","royal challengers bangalore","2020","C  Morris"
"CH Morris","C  Morris","Rajasthan Royals","rajasthan royals","2021","C  Morris"
"C Munro","C  Munro","Delhi Daredevils","delhi daredevils","2018","C  Munro"
"C Munro","C  Munro","Delhi Capitals","delhi capitals","2019","C  Munro"
"C Sakariya","C  Sakariya","Rajasthan Royals","rajasthan royals","2021","C  Sakariya"
"C Sakariya","C  Sakariya","Delhi Capitals","delhi capitals","2022","C  Sakariya"
"C Sakariya","C  Sakariya","Delhi Capitals","delhi capitals","2023","C  Sakariya"
"CV Varun","C  Varun","Punjab Kings","punjab kings","2019","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2020","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2021","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2022","C  Varun"
"CV Varun","C  Varun","Kolkata Knight Riders","kolkata knight riders","2023","C  Varun"
"CR Woakes","C  Woakes","Kolkata Knight Riders","kolkata knight riders","2017","C  Woakes"
"CR Woakes","C  Woakes","Royal Challengers Bangalore","royal challengers bangalore","2018","C  Woakes"
"CR Woakes","C  Woakes","Delhi Capitals","delhi capitals","2021","C  Woakes"
"DM Bravo","D  Bravo","Kolkata Knight Riders","kolkata knight riders","2017","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2018","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2019","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2020","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2021","D  Bravo"
"DJ Bravo","D  Bravo","Chennai Super Kings","chennai super kings","2022","D  Bravo"
"D Brevis","D  Brevis","Mumbai Indians","mumbai indians","2022","D  Brevis"
"DL Chahar","D  Chahar","Rising Pune Supergiants","rising pune supergiants","2017","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2018","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2019","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2020","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2021","D  Chahar"
"DL Chahar","D  Chahar","Chennai Super Kings","chennai super kings","2023","D  Chahar"
"PVD Chameera","P  Chameera","Lucknow Super Giants","lucknow super giants","2022","D  Chameera"
"DT Christian","D  Christian","Rising Pune Supergiants","rising pune supergiants","2017","D  Christian"
"DT Christian","D  Christian","Delhi Daredevils","delhi daredevils","2018","D  Christian"
"DT Christian","D  Christian","Royal Challengers Bangalore","royal challengers bangalore","2021","D  Christian"
"DP Conway","D  Conway","Chennai Super Kings","chennai super kings","2022","D  Conway"
"DP Conway","D  Conway","Chennai Super Kings","chennai super kings","2023","D  Conway"
"DJ Hooda","D  Hooda","Sunrisers Hyderabad","sunrisers hyderabad","2017","D  Hooda"
"DJ Hooda","D  Hooda","Sunrisers Hyderabad","sunrisers hyderabad","2018","D  Hooda"
"DJ Hooda","D  Hooda","Sunrisers Hyderabad","sunrisers hyderabad","2019","D  Hooda"
"DJ Hooda","D  Hooda","Punjab Kings","punjab kings","2020","D  Hooda"
"DJ Hooda","D  Hooda","Punjab Kings","punjab kings","2021","D  Hooda"
"DJ Hooda","D  Hooda","Lucknow Super Giants","lucknow super giants","2022","D  Hooda"
"DJ Hooda","D  Hooda","Lucknow Super Giants","lucknow super giants","2023","D  Hooda"
"Duan Jansen","D  Jansen","Mumbai Indians","mumbai indians","2023","D  Jansen"
"Dhruv Jurel","D  Jurel","Rajasthan Royals","rajasthan royals","2023","D  Jurel"
"KD Karthik","K  Karthik","Gujarat Lions","gujarat lions","2017","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2018","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2019","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2020","D  Karthik"
"KD Karthik","K  Karthik","Kolkata Knight Riders","kolkata knight riders","2021","D  Karthik"
"KD Karthik","K  Karthik","Royal Challengers Bangalore","royal challengers bangalore","2022","D  Karthik"
"KD Karthik","K  Karthik","Royal Challengers Bangalore","royal challengers bangalore","2023","D  Karthik"
"DS Kulkarni","D  Kulkarni","Gujarat Lions","gujarat lions","2017","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Rajasthan Royals","rajasthan royals","2018","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Rajasthan Royals","rajasthan royals","2019","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Mumbai Indians","mumbai indians","2020","D  Kulkarni"
"DS Kulkarni","D  Kulkarni","Mumbai Indians","mumbai indians","2021","D  Kulkarni"
"DJ Malan","D  Malan","Punjab Kings","punjab kings","2021","D  Malan"
"DA Miller","D  Miller","Punjab Kings","punjab kings","2017","D  Miller"
"DA Miller","D  Miller","Punjab Kings","punjab kings","2018","D  Miller"
"DA Miller","D  Miller","Punjab Kings","punjab kings","2019","D  Miller"
"DA Miller","D  Miller","Rajasthan Royals","rajasthan royals","2021","D  Miller"
"DA Miller","D  Miller","Gujarat Titans","gujarat titans","2022","D  Miller"
"DA Miller","D  Miller","Gujarat Titans","gujarat titans","2023","D  Miller"
"DJ Mitchell","D  Mitchell","Rajasthan Royals","rajasthan royals","2022","D  Mitchell"
"DG Nalkande","D  Nalkande","Gujarat Titans","gujarat titans","2022","D  Nalkande"
"DG Nalkande","D  Nalkande","Gujarat Titans","gujarat titans","2023","D  Nalkande"
"D Padikkal","D  Padikkal","Royal Challengers Bangalore","royal challengers bangalore","2020","D  Padikkal"
"D Padikkal","D  Padikkal","Royal Challengers Bangalore","royal challengers bangalore","2021","D  Padikkal"
"D Padikkal","D  Padikkal","Rajasthan Royals","rajasthan royals","2022","D  Padikkal"
"D Padikkal","D  Padikkal","Rajasthan Royals","rajasthan royals","2023","D  Padikkal"
"D Pretorius","D  Pretorius","Chennai Super Kings","chennai super kings","2022","D  Pretorius"
"D Pretorius","D  Pretorius","Chennai Super Kings","chennai super kings","2023","D  Pretorius"
"DR Sams","D  Sams","Royal Challengers Bangalore","royal challengers bangalore","2021","D  Sams"
"DR Sams","D  Sams","Mumbai Indians","mumbai indians","2022","D  Sams"
"DR Shorey","D  Shorey","Chennai Super Kings","chennai super kings","2018","D  Shorey"
"DR Shorey","D  Shorey","Chennai Super Kings","chennai super kings","2019","D  Shorey"
"DJM Short","D  Short","Rajasthan Royals","rajasthan royals","2018","D  Short"
"DR Smith","D  Smith","Gujarat Lions","gujarat lions","2017","D  Smith"
"DW Steyn","D  Steyn","Royal Challengers Bangalore","royal challengers bangalore","2020","D  Steyn"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2017","D  Warner"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2019","D  Warner"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2020","D  Warner"
"DA Warner","D  Warner","Sunrisers Hyderabad","sunrisers hyderabad","2021","D  Warner"
"DA Warner","D  Warner","Delhi Capitals","delhi capitals","2022","D  Warner"
"DA Warner","D  Warner","Delhi Capitals","delhi capitals","2023","D  Warner"
"D Wiese","D  Wiese","Kolkata Knight Riders","kolkata knight riders","2023","D  Wiese"
"DJ Willey","D  Willey","Royal Challengers Bangalore","royal challengers bangalore","2022","D  Willey"
"DJ Willey","D  Willey","Royal Challengers Bangalore","royal challengers bangalore","2023","D  Willey"
"E Lewis","E  Lewis","Mumbai Indians","mumbai indians","2018","E  Lewis"
"E Lewis","E  Lewis","Mumbai Indians","mumbai indians","2019","E  Lewis"
"E Lewis","E  Lewis","Lucknow Super Giants","lucknow super giants","2022","E  Lewis"
"EJG Morgan","E  Morgan","Punjab Kings","punjab kings","2017","E  Morgan"
"EJG Morgan","E  Morgan","Kolkata Knight Riders","kolkata knight riders","2020","E  Morgan"
"EJG Morgan","E  Morgan","Kolkata Knight Riders","kolkata knight riders","2021","E  Morgan"
"FA Allen","F  Allen","Punjab Kings","punjab kings","2021","F  Allen"
"FA Allen","F  Allen","Mumbai Indians","mumbai indians","2022","F  Allen"
"Fazalhaq Farooqi","F  Farooqi","Sunrisers Hyderabad","sunrisers hyderabad","2022","F  Farooqi"
"Fazalhaq Farooqi","F  Farooqi","Sunrisers Hyderabad","sunrisers hyderabad","2023","F  Farooqi"
"F du Plessis","F  Plessis","Rising Pune Supergiants","rising pune supergiants","2017","F  Plessis"
"F du Plessis","F  Plessis","Chennai Super Kings","chennai super kings","2018","F  Plessis"
"F du Plessis","F  Plessis","Chennai Super Kings","chennai super kings","2019","F  Plessis"
"F du Plessis","F  Plessis","Chennai Super Kings","chennai super kings","2020","F  Plessis"
"F du Plessis","F  Plessis","Chennai Super Kings","chennai super kings","2021","F  Plessis"
"F du Plessis","F  Plessis","Royal Challengers Bangalore","royal challengers bangalore","2022","F  Plessis"
"F du Plessis","F  Plessis","Royal Challengers Bangalore","royal challengers bangalore","2023","F  Plessis"
"G Gambhir","G  Gambhir","Kolkata Knight Riders","kolkata knight riders","2017","G  Gambhir"
"G Gambhir","G  Gambhir","Delhi Daredevils","delhi daredevils","2018","G  Gambhir"
"GJ Maxwell","G  Maxwell","Punjab Kings","punjab kings","2017","G  Maxwell"
"GJ Maxwell","G  Maxwell","Delhi Daredevils","delhi daredevils","2018","G  Maxwell"
"GJ Maxwell","G  Maxwell","Punjab Kings","punjab kings","2020","G  Maxwell"
"GJ Maxwell","G  Maxwell","Royal Challengers Bangalore","royal challengers bangalore","2021","G  Maxwell"
"GJ Maxwell","G  Maxwell","Royal Challengers Bangalore","royal challengers bangalore","2022","G  Maxwell"
"GJ Maxwell","G  Maxwell","Royal Challengers Bangalore","royal challengers bangalore","2023","G  Maxwell"
"GD Phillips","G  Phillips","Sunrisers Hyderabad","sunrisers hyderabad","2023","G  Phillips"
"Gurkeerat Singh","G  Singh","Royal Challengers Bangalore","royal challengers bangalore","2019","G  Singh"
"Gurkeerat Singh","G  Singh","Royal Challengers Bangalore","royal challengers bangalore","2020","G  Singh"
"HM Amla","H  Amla","Punjab Kings","punjab kings","2017","H  Amla"
"Harpreet Brar","H  Brar","Punjab Kings","punjab kings","2019","H  Brar"
"Harpreet Brar","H  Brar","Punjab Kings","punjab kings","2020","H  Brar"
"Harpreet Brar","H  Brar","Punjab Kings","punjab kings","2021","H  Brar"
"Harpreet Brar","H  Brar","Punjab Kings","punjab kings","2022","H  Brar"
"Harpreet Brar","H  Brar","Punjab Kings","punjab kings","2023","H  Brar"
"HC Brook","H  Brook","Sunrisers Hyderabad","sunrisers hyderabad","2023","H  Brook"
"HF Gurney","H  Gurney","Kolkata Knight Riders","kolkata knight riders","2019","H  Gurney"
"H Klaasen","H  Klaasen","Royal Challengers Bangalore","royal challengers bangalore","2019","H  Klaasen"
"H Klaasen","H  Klaasen","Sunrisers Hyderabad","sunrisers hyderabad","2023","H  Klaasen"
"HH Pandya","H  Pandya","Mumbai Indians","mumbai indians","2017","H  Pandya"
"HH Pandya","H  Pandya","Mumbai Indians","mumbai indians","2018","H  Pandya"
"HH Pandya","H  Pandya","Mumbai Indians","mumbai indians","2019","H  Pandya"
"HH Pandya","H  Pandya","Mumbai Indians","mumbai indians","2020","H  Pandya"
"HH Pandya","H  Pandya","Mumbai Indians","mumbai indians","2021","H  Pandya"
"HH Pandya","H  Pandya","Gujarat Titans","gujarat titans","2022","H  Pandya"
"HH Pandya","H  Pandya","Gujarat Titans","gujarat titans","2023","H  Pandya"
"HV Patel","H  Patel","Royal Challengers Bangalore","royal challengers bangalore","2017","H  Patel"
"HV Patel","H  Patel","Delhi Daredevils","delhi daredevils","2018","H  Patel"
"HV Patel","H  Patel","Delhi Capitals","delhi capitals","2019","H  Patel"
"HV Patel","H  Patel","Delhi Capitals","delhi capitals","2020","H  Patel"
"HV Patel","H  Patel","Royal Challengers Bangalore","royal challengers bangalore","2021","H  Patel"
"HV Patel","H  Patel","Royal Challengers Bangalore","royal challengers bangalore","2022","H  Patel"
"HV Patel","H  Patel","Royal Challengers Bangalore","royal challengers bangalore","2023","H  Patel"
"Harshit Rana","H  Rana","Kolkata Knight Riders","kolkata knight riders","2023","H  Rana"
"H Sharma","H  Sharma","Royal Challengers Bangalore","royal challengers bangalore","2023","H  Sharma"
"HR Shokeen","H  Shokeen","Mumbai Indians","mumbai indians","2022","H  Shokeen"
"HR Shokeen","H  Shokeen","Mumbai Indians","mumbai indians","2023","H  Shokeen"
"Harbhajan Singh","H  Singh","Mumbai Indians","mumbai indians","2017","H  Singh"
"Harbhajan Singh","H  Singh","Chennai Super Kings","chennai super kings","2018","H  Singh"
"Harbhajan Singh","H  Singh","Chennai Super Kings","chennai super kings","2019","H  Singh"
"Harbhajan Singh","H  Singh","Kolkata Knight Riders","kolkata knight riders","2021","H  Singh"
"Harpreet Singh","H  Singh","Punjab Kings","punjab kings","2023","H  Singh"
"GH Vihari","G  Vihari","Delhi Capitals","delhi capitals","2019","H  Vihari"
"GC Viljoen","G  Viljoen","Punjab Kings","punjab kings","2019","H  Viljoen"
"Iqbal Abdulla","I  Abdulla","Royal Challengers Bangalore","royal challengers bangalore","2017","I  Abdulla"
"IR Jaggi","I  Jaggi","Kolkata Knight Riders","kolkata knight riders","2017","I  Jaggi"
"Ishan Kishan","I  Kishan","Gujarat Lions","gujarat lions","2017","I  Kishan"
"Ishan Kishan","I  Kishan","Mumbai Indians","mumbai indians","2018","I  Kishan"
"Ishan Kishan","I  Kishan","Mumbai Indians","mumbai indians","2019","I  Kishan"
"Ishan Kishan","I  Kishan","Mumbai Indians","mumbai indians","2020","I  Kishan"
"Ishan Kishan","I  Kishan","Mumbai Indians","mumbai indians","2021","I  Kishan"
"Ishan Kishan","I  Kishan","Mumbai Indians","mumbai indians","2022","I  Kishan"
"Ishan Kishan","I  Kishan","Mumbai Indians","mumbai indians","2023","I  Kishan"
"IC Porel","I  Porel","Punjab Kings","punjab kings","2021","I  Porel"
"I Sharma","I  Sharma","Delhi Capitals","delhi capitals","2019","I  Sharma"
"I Sharma","I  Sharma","Delhi Capitals","delhi capitals","2020","I  Sharma"
"I Sharma","I  Sharma","Delhi Capitals","delhi capitals","2021","I  Sharma"
"I Sharma","I  Sharma","Delhi Capitals","delhi capitals","2023","I  Sharma"
"IS Sodhi","I  Sodhi","Rajasthan Royals","rajasthan royals","2019","I  Sodhi"
"Imran Tahir","I  Tahir","Chennai Super Kings","chennai super kings","2018","I  Tahir"
"Imran Tahir","I  Tahir","Chennai Super Kings","chennai super kings","2019","I  Tahir"
"Imran Tahir","I  Tahir","Chennai Super Kings","chennai super kings","2020","I  Tahir"
"Imran Tahir","I  Tahir","Chennai Super Kings","chennai super kings","2021","I  Tahir"
"I Udana","I  Udana","Royal Challengers Bangalore","royal challengers bangalore","2020","I  Udana"
"JC Archer","J  Archer","Rajasthan Royals","rajasthan royals","2018","J  Archer"
"JC Archer","J  Archer","Rajasthan Royals","rajasthan royals","2019","J  Archer"
"JC Archer","J  Archer","Rajasthan Royals","rajasthan royals","2020","J  Archer"
"JC Archer","J  Archer","Mumbai Indians","mumbai indians","2023","J  Archer"
"JM Bairstow","J  Bairstow","Sunrisers Hyderabad","sunrisers hyderabad","2019","J  Bairstow"
"JM Bairstow","J  Bairstow","Sunrisers Hyderabad","sunrisers hyderabad","2020","J  Bairstow"
"JM Bairstow","J  Bairstow","Sunrisers Hyderabad","sunrisers hyderabad","2021","J  Bairstow"
"JM Bairstow","J  Bairstow","Punjab Kings","punjab kings","2022","J  Bairstow"
"JP Behrendorff","J  Behrendorff","Mumbai Indians","mumbai indians","2019","J  Behrendorff"
"JP Behrendorff","J  Behrendorff","Mumbai Indians","mumbai indians","2023","J  Behrendorff"
"JJ Bumrah","J  Bumrah","Mumbai Indians","mumbai indians","2017","J  Bumrah"
"JJ Bumrah","J  Bumrah","Mumbai Indians","mumbai indians","2018","J  Bumrah"
"JJ Bumrah","J  Bumrah","Mumbai Indians","mumbai indians","2019","J  Bumrah"
"JJ Bumrah","J  Bumrah","Mumbai Indians","mumbai indians","2020","J  Bumrah"
"JJ Bumrah","J  Bumrah","Mumbai Indians","mumbai indians","2021","J  Bumrah"
"JJ Bumrah","J  Bumrah","Mumbai Indians","mumbai indians","2022","J  Bumrah"
"JC Buttler","J  Buttler","Mumbai Indians","mumbai indians","2017","J  Buttler"
"JC Buttler","J  Buttler","Rajasthan Royals","rajasthan royals","2018","J  Buttler"
"JC Buttler","J  Buttler","Rajasthan Royals","rajasthan royals","2019","J  Buttler"
"JC Buttler","J  Buttler","Rajasthan Royals","rajasthan royals","2020","J  Buttler"
"JC Buttler","J  Buttler","Rajasthan Royals","rajasthan royals","2021","J  Buttler"
"JC Buttler","J  Buttler","Rajasthan Royals","rajasthan royals","2022","J  Buttler"
"JC Buttler","J  Buttler","Rajasthan Royals","rajasthan royals","2023","J  Buttler"
"JL Denly","J  Denly","Kolkata Knight Riders","kolkata knight riders","2019","J  Denly"
"JP Duminy","J  Duminy","Mumbai Indians","mumbai indians","2018","J  Duminy"
"JP Faulkner","J  Faulkner","Gujarat Lions","gujarat lions","2017","J  Faulkner"
"JR Hazlewood","J  Hazlewood","Chennai Super Kings","chennai super kings","2020","J  Hazlewood"
"JR Hazlewood","J  Hazlewood","Chennai Super Kings","chennai super kings","2021","J  Hazlewood"
"JR Hazlewood","J  Hazlewood","Royal Challengers Bangalore","royal challengers bangalore","2022","J  Hazlewood"
"JR Hazlewood","J  Hazlewood","Royal Challengers Bangalore","royal challengers bangalore","2023","J  Hazlewood"
"JO Holder","J  Holder","Sunrisers Hyderabad","sunrisers hyderabad","2021","J  Holder"
"JO Holder","J  Holder","Lucknow Super Giants","lucknow super giants","2022","J  Holder"
"JO Holder","J  Holder","Rajasthan Royals","rajasthan royals","2023","J  Holder"
"J Little","J  Little","Gujarat Titans","gujarat titans","2023","J  Little"
"JDS Neesham","J  Neesham","Punjab Kings","punjab kings","2020","J  Neesham"
"JDS Neesham","J  Neesham","Mumbai Indians","mumbai indians","2021","J  Neesham"
"JDS Neesham","J  Neesham","Rajasthan Royals","rajasthan royals","2022","J  Neesham"
"JR Philippe","J  Philippe","Royal Challengers Bangalore","royal challengers bangalore","2020","J  Philippe"
"JA Richardson","J  Richardson","Punjab Kings","punjab kings","2021","J  Richardson"
"JE Root","J  Root","Rajasthan Royals","rajasthan royals","2023","J  Root"
"JJ Roy","J  Roy","Gujarat Lions","gujarat lions","2017","J  Roy"
"JJ Roy","J  Roy","Delhi Daredevils","delhi daredevils","2018","J  Roy"
"Jalaj S Saxena","J  Saxena","Punjab Kings","punjab kings","2021","J  Saxena"
"JPR Scantlebury Searles","J  Searles","Kolkata Knight Riders","kolkata knight riders","2018","J  Searles"
"JM Sharma","J  Sharma","Punjab Kings","punjab kings","2022","J  Sharma"
"JM Sharma","J  Sharma","Punjab Kings","punjab kings","2023","J  Sharma"
"J Suchith","J  Suchith","Sunrisers Hyderabad","sunrisers hyderabad","2021","J  Suchith"
"J Suchith","J  Suchith","Sunrisers Hyderabad","sunrisers hyderabad","2022","J  Suchith"
"JD Unadkat","J  Unadkat","Rising Pune Supergiants","rising pune supergiants","2017","J  Unadkat"
"JD Unadkat","J  Unadkat","Rajasthan Royals","rajasthan royals","2018","J  Unadkat"
"JD Unadkat","J  Unadkat","Rajasthan Royals","rajasthan royals","2019","J  Unadkat"
"JD Unadkat","J  Unadkat","Rajasthan Royals","rajasthan royals","2020","J  Unadkat"
"JD Unadkat","J  Unadkat","Rajasthan Royals","rajasthan royals","2021","J  Unadkat"
"JD Unadkat","J  Unadkat","Mumbai Indians","mumbai indians","2022","J  Unadkat"
"JD Unadkat","J  Unadkat","Lucknow Super Giants","lucknow super giants","2023","J  Unadkat"
"J Yadav","J  Yadav","Delhi Daredevils","delhi daredevils","2017","J  Yadav"
"J Yadav","J  Yadav","Mumbai Indians","mumbai indians","2019","J  Yadav"
"J Yadav","J  Yadav","Mumbai Indians","mumbai indians","2020","J  Yadav"
"J Yadav","J  Yadav","Mumbai Indians","mumbai indians","2021","J  Yadav"
"J Yadav","J  Yadav","Gujarat Titans","gujarat titans","2023","J  Yadav"
"KK Ahmed","K  Ahmed","Sunrisers Hyderabad","sunrisers hyderabad","2019","K  Ahmed"
"KK Ahmed","K  Ahmed","Sunrisers Hyderabad","sunrisers hyderabad","2020","K  Ahmed"
"KK Ahmed","K  Ahmed","Sunrisers Hyderabad","sunrisers hyderabad","2021","K  Ahmed"
"KK Ahmed","K  Ahmed","Delhi Capitals","delhi capitals","2022","K  Ahmed"
"KK Ahmed","K  Ahmed","Delhi Capitals","delhi capitals","2023","K  Ahmed"
"KM Asif","K  Asif","Chennai Super Kings","chennai super kings","2018","K  Asif"
"KM Asif","K  Asif","Chennai Super Kings","chennai super kings","2021","K  Asif"
"KM Asif","K  Asif","Rajasthan Royals","rajasthan royals","2023","K  Asif"
"KS Bharat","K  Bharat","Royal Challengers Bangalore","royal challengers bangalore","2021","K  Bharat"
"KS Bharat","K  Bharat","Delhi Capitals","delhi capitals","2022","K  Bharat"
"KC Cariappa","K  Cariappa","Punjab Kings","punjab kings","2017","K  Cariappa"
"K Gowtham","K  Gowtham","Rajasthan Royals","rajasthan royals","2018","K  Gowtham"
"K Gowtham","K  Gowtham","Rajasthan Royals","rajasthan royals","2019","K  Gowtham"
"K Gowtham","K  Gowtham","Punjab Kings","punjab kings","2020","K  Gowtham"
"K Gowtham","K  Gowtham","Lucknow Super Giants","lucknow super giants","2022","K  Gowtham"
"K Gowtham","K  Gowtham","Lucknow Super Giants","lucknow super giants","2023","K  Gowtham"
"KM Jadhav","K  Jadhav","Royal Challengers Bangalore","royal challengers bangalore","2017","K  Jadhav"
"KM Jadhav","K  Jadhav","Chennai Super Kings","chennai super kings","2018","K  Jadhav"
"KM Jadhav","K  Jadhav","Chennai Super Kings","chennai super kings","2019","K  Jadhav"
"KM Jadhav","K  Jadhav","Chennai Super Kings","chennai super kings","2020","K  Jadhav"
"KM Jadhav","K  Jadhav","Sunrisers Hyderabad","sunrisers hyderabad","2021","K  Jadhav"
"KA Jamieson","K  Jamieson","Royal Challengers Bangalore","royal challengers bangalore","2021","K  Jamieson"
"K Kartikeya","K  Kartikeya","Mumbai Indians","mumbai indians","2023","K  Kartikeya"
"K Khejroliya","K  Khejroliya","Royal Challengers Bangalore","royal challengers bangalore","2018","K  Khejroliya"
"K Khejroliya","K  Khejroliya","Royal Challengers Bangalore","royal challengers bangalore","2019","K  Khejroliya"
"K Khejroliya","K  Khejroliya","Kolkata Knight Riders","kolkata knight riders","2023","K  Khejroliya"
"KR Mayers","K  Mayers","Lucknow Super Giants","lucknow super giants","2023","K  Mayers"
"KL Nagarkoti","K  Nagarkoti","Kolkata Knight Riders","kolkata knight riders","2020","K  Nagarkoti"
"KL Nagarkoti","K  Nagarkoti","Kolkata Knight Riders","kolkata knight riders","2021","K  Nagarkoti"
"KL Nagarkoti","K  Nagarkoti","Delhi Capitals","delhi capitals","2022","K  Nagarkoti"
"KK Nair","K  Nair","Delhi Daredevils","delhi daredevils","2017","K  Nair"
"KK Nair","K  Nair","Punjab Kings","punjab kings","2018","K  Nair"
"KK Nair","K  Nair","Punjab Kings","punjab kings","2019","K  Nair"
"KK Nair","K  Nair","Punjab Kings","punjab kings","2020","K  Nair"
"KK Nair","K  Nair","Rajasthan Royals","rajasthan royals","2022","K  Nair"
"KH Pandya","K  Pandya","Mumbai Indians","mumbai indians","2017","K  Pandya"
"KH Pandya","K  Pandya","Mumbai Indians","mumbai indians","2018","K  Pandya"
"KH Pandya","K  Pandya","Mumbai Indians","mumbai indians","2019","K  Pandya"
"KH Pandya","K  Pandya","Mumbai Indians","mumbai indians","2020","K  Pandya"
"KH Pandya","K  Pandya","Mumbai Indians","mumbai indians","2021","K  Pandya"
"KH Pandya","K  Pandya","Lucknow Super Giants","lucknow super giants","2022","K  Pandya"
"KH Pandya","K  Pandya","Lucknow Super Giants","lucknow super giants","2023","K  Pandya"
"KMA Paul","K  Paul","Delhi Capitals","delhi capitals","2019","K  Paul"
"KA Pollard","K  Pollard","Mumbai Indians","mumbai indians","2017","K  Pollard"
"KA Pollard","K  Pollard","Mumbai Indians","mumbai indians","2018","K  Pollard"
"KA Pollard","K  Pollard","Mumbai Indians","mumbai indians","2019","K  Pollard"
"KA Pollard","K  Pollard","Mumbai Indians","mumbai indians","2020","K  Pollard"
"KA Pollard","K  Pollard","Mumbai Indians","mumbai indians","2021","K  Pollard"
"KA Pollard","K  Pollard","Mumbai Indians","mumbai indians","2022","K  Pollard"
"K Rabada","K  Rabada","Delhi Daredevils","delhi daredevils","2017","K  Rabada"
"K Rabada","K  Rabada","Delhi Capitals","delhi capitals","2019","K  Rabada"
"K Rabada","K  Rabada","Delhi Capitals","delhi capitals","2020","K  Rabada"
