details,team
Upendra Yadav BAT/WK 25 30,SUNRISERS HYDERABAD
Sanvir Singh AR 20 24,SUNRISERS HYDERABAD
Nitish Kumar Reddy BAT/WK 20 24,SUNRISERS HYDERABAD
Anmolpreet Singh BAT 20 24,SUNRISERS HYDERABAD
Samarth Vyas AR 20 24,SUNRISERS HYDERABAD
KL Rahul BAT/WK 1700 2073,LUCKNOW SUPER GIANTS
Nicholas Pooran BAT/WK 1600 1951,LUCKNOW SUPER GIANTS
Marcus Stoinis AR 1000 1219,LUCKNOW SUPER GIANTS
Avesh Khan BOW 1000 1219,LUCKNOW SUPER GIANTS
Krunal Pandya AR 825 1006,LUCKNOW SUPER GIANTS
Mark Wood BOW 750 914,LUCKNOW SUPER GIANTS
Quinton de Kock BAT/WK 675 823,LUCKNOW SUPER GIANTS
Deepak Hooda AR 575 701,LUCKNOW SUPER GIANTS
Ravi Bishnoi BOW 400 487,LUCKNOW SUPER GIANTS
Krishnappa Gowtham AR 90 109,LUCKNOW SUPER GIANTS
Daniel Sams AR 75 91,LUCKNOW SUPER GIANTS
Amit Mishra BOW 50 60,LUCKNOW SUPER GIANTS
Kyle Mayers AR 50 60,LUCKNOW SUPER GIANTS
Jaydev Unadkat BOW 50 60,LUCKNOW SUPER GIANTS
Romario Shepherd AR 50 60,LUCKNOW SUPER GIANTS
Naveen-ul-Haq BOW 50 60,LUCKNOW SUPER GIANTS
Yash Thakur BOW 45 54,LUCKNOW SUPER GIANTS
Mohsin Khan BOW 20 24,LUCKNOW SUPER GIANTS
Ayush Badoni AR 20 24,LUCKNOW SUPER GIANTS
Yudhvir Charak AR 20 24,LUCKNOW SUPER GIANTS
Karan Sharma AR 20 24,LUCKNOW SUPER GIANTS
Mayank Yadav BOW 20 24,LUCKNOW SUPER GIANTS
Swapnil Singh AR 20 24,LUCKNOW SUPER GIANTS
Manan Vohra BAT 20 24,LUCKNOW SUPER GIANTS
Prerak Mankad AR 20 24,LUCKNOW SUPER GIANTS
Hardik Pandya AR 1500 1829,GUJARAT TITANS
Rashid Khan BOW 1500 1829,GUJARAT TITANS
Rahul Tewatia AR 900 1097,GUJARAT TITANS
Shubman Gill BAT 800 975,GUJARAT TITANS
Mohammed Shami BOW 625 762,GUJARAT TITANS
Shivam Mavi BOW 600 731,GUJARAT TITANS
Joshua Little BOW 440 536,GUJARAT TITANS
Yash Dayal BOW 320 390,GUJARAT TITANS
R Sai Kishore BOW 300 365,GUJARAT TITANS
David Miller BAT 300 365,GUJARAT TITANS
Abhinav Manohar BAT 260 317,GUJARAT TITANS
Matthew Wade BAT/WK 240 292,GUJARAT TITANS
Alzarri Joseph BOW 240 292,GUJARAT TITANS
Kane Williamson BAT 200 243,GUJARAT TITANS
Wriddhiman Saha BAT/WK 190 231,GUJARAT TITANS
Jayant Yadav AR 170 207,GUJARAT TITANS
Vijay Shankar AR 140 170,GUJARAT TITANS
Srikar Bharat BAT/WK 120 146,GUJARAT TITANS
Mohit Sharma BOW 50 60,GUJARAT TITANS
Odean Smith AR 50 60,GUJARAT TITANS
Noor Ahmad BOW 30 36,GUJARAT TITANS
Darshan Nalkande AR 20 24,GUJARAT TITANS
Urvil Patel BAT/WK 20 24,GUJARAT TITANS
Sai Sudharsan AR 20 24,GUJARAT TITANS
Pradeep Sangwan AR 20 24,GUJARAT TITANS
