"","player.x","team","competition","season","total_bat_wpa","runs_for","wickets_lost","balls_faced","total_bat_XRA","total_bowl_wpa","wickets_taken","runs_against","balls_bowled","total_bowl_XRA","bowl_wpa_per_ball","bowl_XRA_per_ball","bowl_economy","bowl_average","bat_wpa_per_ball","bat_XRA_per_ball","strike_rate","average","total_wpa","total_XRA","balls_total","total_wpa_per_ball","total_XRA_per_ball","season_singular","logo","team_colours","team_colour2","player_name_first","player_name_last","player_fuzzy_ipl_contracts","player_full","position","position_detail","price_lakhs","price_dollars_thousands","wpa_per_thous","wpa_per_lakh","XRA_per_thous","XRA_per_lakh","wins","losses","games_played","win_percentage"
"11","A Mishra","Delhi Daredevils","Indian Premier League","2018",-3,1,0,2,-1.52,51,13,265,226,-21.23,0.23,-0.09,7.04,20.38,-1.5,-0.76,3,Inf,48,-22.75,228,0.21,-0.1,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Mishra","A  Mishra","Amit Mishra","BOW","Bowler",400,625,0.08,0.12,-0.04,-0.06,5,9,14,0.357142857142857
"12","A Mishra","Lucknow Super Giants","Indian Premier League","2023",-7,19,1,30,-12.26,10,7,151,115,-24.03,0.09,-0.21,7.88,21.57,-0.23,-0.41,3.8,19,3,-36.28,145,0.02,-0.25,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/333800/333885.png","#2283C6","#F58334","A","Mishra","A  Mishra","Amit Mishra","BOW","Bowler",50,60,0.05,0.06,-0.6,-0.73,8,6,14,0.571428571428571
"13","A Nehra","Sunrisers Hyderabad","Indian Premier League","2017",0,0,0,0,0,12,10,198,132,-50.76,0.09,-0.38,9,19.8,0,0,NA,NA,12,-50.76,132,0.09,-0.38,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313480.logo.png","#130801","#F96F0F","A","Nehra","A  Nehra","Ashish Nehra","BOW","Bowler",550,820,0.01,0.02,-0.06,-0.09,9,5,14,0.642857142857143
"14","A Nortje","Delhi Capitals","Indian Premier League","2021",0,0,0,0,0,17,12,198,187,2.74,0.09,0.01,6.35,16.5,0,0,NA,NA,17,2.74,187,0.09,0.01,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Nortje","A  Nortje","Anrich Nortje","BOW","Bowler",89,123,0.14,0.19,0.02,0.03,9,7,16,0.5625
"15","A Nortje","Delhi Capitals","Indian Premier League","2022",0,1,0,7,-5.37,-42,9,219,143,-59.65,-0.29,-0.42,9.19,24.33,0,-0.77,0.86,Inf,-42,-65.02,150,-0.28,-0.43,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Nortje","A  Nortje","Anrich Nortje","BOW","Bowler",650,866,-0.05,-0.06,-0.08,-0.1,7,7,14,0.5
"16","A Nortje","Delhi Capitals","Indian Premier League","2023",1,37,2,29,0.34,-4,11,370,251,-77.34,-0.02,-0.31,8.84,33.64,0.03,0.01,7.66,18.5,-3,-77,280,-0.01,-0.28,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Nortje","A  Nortje","Anrich Nortje","BOW","Bowler",650,792,0,0,-0.1,-0.12,5,9,14,0.357142857142857
"17","A Tomar","Kolkata Knight Riders","Indian Premier League","2022",-2,4,1,8,-3.78,0,0,0,0,0,0,0,NA,NA,-0.25,-0.47,3,4,-2,-3.78,8,-0.25,-0.47,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Tomar","A  Tomar","Abhijeet Tomar","BAT","Batter",40,53,-0.04,-0.05,-0.07,-0.09,6,8,14,0.428571428571429
"18","A Zampa","Rajasthan Royals","Indian Premier League","2023",-6,10,3,17,-7.59,33,9,189,133,-43.8,0.25,-0.33,8.53,21,-0.35,-0.45,3.53,3.33,27,-51.39,150,0.18,-0.34,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","A","Zampa","A  Zampa","Adam Zampa","BOW","Bowler",150,182,0.15,0.18,-0.28,-0.34,7,7,14,0.5
"19","A Zampa","Rising Pune Supergiants","Indian Premier League","2017",-1,5,1,7,-2.31,-10,7,164,122,-28.33,-0.08,-0.23,8.07,23.43,-0.14,-0.33,4.29,5,-11,-30.64,129,-0.09,-0.24,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313500/313524.logo.png","#3D156A","#C224A3","A","Zampa","A  Zampa","Adam Zampa","BOW","Bowler",30,44,-0.25,-0.37,-0.7,-1.02,10,6,16,0.625
"20","AB Dinda","Rising Pune Supergiants","Indian Premier League","2017",0,7,1,8,-0.56,-21,2,121,65,-46.58,-0.32,-0.72,11.17,60.5,0,-0.07,5.25,7,-21,-47.14,73,-0.29,-0.65,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313500/313524.logo.png","#3D156A","#C224A3","A","Dinda","A  Dinda","Ashok Dinda","BOW","Bowler",50,74,-0.28,-0.42,-0.64,-0.94,10,6,16,0.625
"21","AB de Villiers","Royal Challengers Bangalore","Indian Premier League","2017",-18,216,7,171,48.59,0,0,0,0,0,0,0,NA,NA,-0.11,0.28,7.58,30.86,-18,48.59,171,-0.11,0.28,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Villiers","A  Villiers","AB de Villiers","BAT","Batter",950,1417,-0.01,-0.02,0.03,0.05,3,10,13,0.230769230769231
"22","AB de Villiers","Royal Challengers Bangalore","Indian Premier League","2018",144,480,9,280,182.05,0,0,0,0,0,0,0,NA,NA,0.51,0.65,10.29,53.33,144,182.05,280,0.51,0.65,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Villiers","A  Villiers","AB de Villiers","BAT","Batter",1100,1718,0.08,0.13,0.11,0.17,6,8,14,0.428571428571429
"23","AB de Villiers","Royal Challengers Bangalore","Indian Premier League","2019",25,442,10,294,117.81,0,0,0,0,0,0,0,NA,NA,0.09,0.4,9.02,44.2,25,117.81,294,0.09,0.4,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Villiers","A  Villiers","AB de Villiers","BAT","Batter",1100,1527,0.02,0.02,0.08,0.11,6,8,14,0.428571428571429
"24","AB de Villiers","Royal Challengers Bangalore","Indian Premier League","2020/21",81,454,10,292,126.07,0,0,0,0,0,0,0,NA,NA,0.28,0.43,9.33,45.4,81,126.07,292,0.28,0.43,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Villiers","A  Villiers","AB de Villiers","BAT","Batter",1100,1549,0.05,0.07,0.08,0.11,6,9,15,0.4
"25","AB de Villiers","Royal Challengers Bangalore","Indian Premier League","2021",29,313,11,215,65.73,0,0,0,0,0,0,0,NA,NA,0.13,0.31,8.73,28.45,29,65.73,215,0.13,0.31,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Villiers","A  Villiers","AB de Villiers","BAT","Batter",1100,1506,0.02,0.03,0.04,0.06,9,6,15,0.6
"26","AD Mathews","Delhi Daredevils","Indian Premier League","2017",-14,32,2,28,-2.34,-12,0,57,31,-20.92,-0.39,-0.67,11.03,Inf,-0.5,-0.08,6.86,16,-26,-23.26,59,-0.44,-0.39,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Mathews","A  Mathews","Angelo Mathews","AR","All Rounder",200,298,-0.09,-0.13,-0.08,-0.12,6,8,14,0.428571428571429
"27","AD Nath","Gujarat Lions","Indian Premier League","2017",-6,0,1,1,-1.1,0,0,0,0,0,0,0,NA,NA,-6,-1.1,0,0,-6,-1.1,1,-6,-1.1,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313500/313525.logo.png","#D13617","#1774D1","A","Nath","A  Nath","Akshdeep Nath","AR","All Rounder",10,14,-0.43,-0.6,-0.08,-0.11,4,10,14,0.285714285714286
"28","AD Nath","Punjab Kings","Indian Premier League","2018",-17,9,1,13,-3.51,0,0,0,0,0,0,0,NA,NA,-1.31,-0.27,4.15,9,-17,-3.51,13,-1.31,-0.27,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","A","Nath","A  Nath","Akshdeep Nath","AR","All Rounder",100,156,-0.11,-0.17,-0.02,-0.04,5,9,14,0.357142857142857
"29","AD Nath","Royal Challengers Bangalore","Indian Premier League","2019",-11,61,5,58,-3.63,0,0,0,0,0,0,0,NA,NA,-0.19,-0.06,6.31,12.2,-11,-3.63,58,-0.19,-0.06,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Nath","A  Nath","Akshdeep Nath","AR","All Rounder",360,500,-0.02,-0.03,-0.01,-0.01,6,8,14,0.428571428571429
"30","AD Russell","Kolkata Knight Riders","Indian Premier League","2018",-7,316,12,179,111.06,-39,13,360,239,-94.87,-0.16,-0.4,9.04,27.69,-0.04,0.62,10.59,26.33,-46,16.19,418,-0.11,0.04,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Russell","A  Russell","Andre Russell","AR","All Rounder",850,1328,-0.03,-0.05,0.01,0.02,10,6,16,0.625
"31","AD Russell","Kolkata Knight Riders","Indian Premier League","2019",137,510,9,271,210.89,-47,11,288,182,-86.8,-0.26,-0.48,9.49,26.18,0.51,0.78,11.29,56.67,90,124.09,453,0.2,0.27,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Russell","A  Russell","Andre Russell","AR","All Rounder",850,1180,0.08,0.11,0.11,0.15,6,8,14,0.428571428571429
"32","AD Russell","Kolkata Knight Riders","Indian Premier League","2020/21",-6,117,9,82,32.48,-45,7,178,114,-32.47,-0.39,-0.28,9.37,25.43,-0.07,0.4,8.56,13,-51,0.01,196,-0.26,0,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Russell","A  Russell","Andre Russell","AR","All Rounder",850,1197,-0.04,-0.06,0,0,6,8,14,0.428571428571429
"33","AD Russell","Kolkata Knight Riders","Indian Premier League","2021",-19,183,6,127,51.53,4,11,189,122,-38.01,0.03,-0.31,9.3,17.18,-0.15,0.41,8.65,30.5,-15,13.52,249,-0.06,0.05,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Russell","A  Russell","Andre Russell","AR","All Rounder",850,1164,-0.01,-0.02,0.01,0.02,9,8,17,0.529411764705882
"34","AD Russell","Kolkata Knight Riders","Indian Premier League","2022",17,335,9,200,121.89,-26,21,282,176,-71.49,-0.15,-0.41,9.61,13.43,0.09,0.61,10.05,37.22,-9,50.4,376,-0.02,0.13,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Russell","A  Russell","Andre Russell","AR","All Rounder",1200,1600,-0.01,-0.01,0.03,0.04,6,8,14,0.428571428571429
"35","AD Russell","Kolkata Knight Riders","Indian Premier League","2023",-3,227,12,162,39.15,-8,7,173,99,-60.32,-0.08,-0.61,10.48,24.71,-0.02,0.24,8.41,18.92,-11,-21.17,261,-0.04,-0.08,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Russell","A  Russell","Andre Russell","AR","All Rounder",1600,1951,-0.01,-0.01,-0.01,-0.01,6,8,14,0.428571428571429
"36","AF Milne","Chennai Super Kings","Indian Premier League","2022",0,0,0,0,0,-3,0,19,15,-3.94,-0.2,-0.26,7.6,Inf,0,0,NA,NA,-3,-3.94,15,-0.2,-0.26,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313421.logo.png","#07102C","#EADC04","A","Milne","A  Milne","Adam Milne","BOW","Bowler",190,253,-0.01,-0.02,-0.02,-0.02,4,10,14,0.285714285714286
"37","AF Milne","Mumbai Indians","Indian Premier League","2021",-12,16,2,19,-4.99,-14,3,135,87,-40.06,-0.16,-0.46,9.31,45,-0.63,-0.26,5.05,8,-26,-45.05,106,-0.25,-0.43,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","A","Milne","A  Milne","Adam Milne","BOW","Bowler",320,438,-0.06,-0.08,-0.1,-0.14,7,7,14,0.5
"38","AF Milne","Royal Challengers Bangalore","Indian Premier League","2017",-9,7,3,12,-6.4,-6,4,141,90,-36.68,-0.07,-0.41,9.4,35.25,-0.75,-0.53,3.5,2.33,-15,-43.08,102,-0.15,-0.42,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Milne","A  Milne","Adam Milne","BOW","Bowler",10,104,-0.14,-1.5,-0.41,-4.31,3,10,13,0.230769230769231
"39","AJ Finch","Gujarat Lions","Indian Premier League","2017",-4,299,12,186,109.79,0,0,0,0,0,0,0,NA,NA,-0.02,0.59,9.65,24.92,-4,109.79,186,-0.02,0.59,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313500/313525.logo.png","#D13617","#1774D1","A","Finch","A  Finch","Aaron Finch","BAT","Batter",100,149,-0.03,-0.04,0.74,1.1,4,10,14,0.285714285714286
"40","AJ Finch","Punjab Kings","Indian Premier League","2018",-43,134,8,102,27.19,0,0,0,0,0,0,0,NA,NA,-0.42,0.27,7.88,16.75,-43,27.19,102,-0.42,0.27,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","A","Finch","A  Finch","Aaron Finch","BAT","Batter",620,968,-0.04,-0.07,0.03,0.04,5,9,14,0.357142857142857
"41","AJ Finch","Royal Challengers Bangalore","Indian Premier League","2020/21",25,268,12,254,33.24,0,0,0,0,0,0,0,NA,NA,0.1,0.13,6.33,22.33,25,33.24,254,0.1,0.13,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Finch","A  Finch","Aaron Finch","BAT","Batter",440,619,0.04,0.06,0.05,0.08,6,9,15,0.4
"42","AJ Hosein","Sunrisers Hyderabad","Indian Premier League","2023",2,16,0,11,1.62,-3,1,41,24,-16.36,-0.12,-0.68,10.25,41,0.18,0.15,8.73,Inf,-1,-14.74,35,-0.03,-0.42,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313480.logo.png","#130801","#F96F0F","A","Hosein","A  Hosein","Akeal Hosein","BOW","Bowler",100,121,-0.01,-0.01,-0.12,-0.15,4,10,14,0.285714285714286
"43","AJ Turner","Rajasthan Royals","Indian Premier League","2019",-21,3,3,11,-9.98,0,0,0,0,0,0,0,NA,NA,-1.91,-0.91,1.64,1,-21,-9.98,11,-1.91,-0.91,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","A","Turner","A  Turner","Ashton Turner","AR","All Rounder",50,69,-0.3,-0.42,-0.14,-0.2,5,9,14,0.357142857142857
"44","AJ Tye","Gujarat Lions","Indian Premier League","2017",2,53,1,30,19.26,14,12,146,128,5.53,0.11,0.04,6.84,12.17,0.07,0.64,10.6,53,16,24.79,158,0.1,0.16,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313500/313525.logo.png","#D13617","#1774D1","A","Tye","A  Tye","Andrew Tye","BOW","Bowler",50,74,0.22,0.32,0.33,0.5,4,10,14,0.285714285714286
"45","AJ Tye","Punjab Kings","Indian Premier League","2018",-21,32,6,40,-11.75,-13,28,459,353,-53.56,-0.04,-0.15,7.8,16.39,-0.52,-0.29,4.8,5.33,-34,-65.31,393,-0.09,-0.17,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","A","Tye","A  Tye","Andrew Tye","BOW","Bowler",720,1125,-0.03,-0.05,-0.06,-0.09,5,9,14,0.357142857142857
"46","AJ Tye","Punjab Kings","Indian Premier League","2019",0,0,0,2,-1.74,-54,3,233,137,-71.28,-0.39,-0.52,10.2,77.67,0,-0.87,0,NA,-54,-73.02,139,-0.39,-0.53,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","A","Tye","A  Tye","Andrew Tye","BOW","Bowler",720,1000,-0.05,-0.07,-0.07,-0.1,6,8,14,0.428571428571429
"47","AJ Tye","Rajasthan Royals","Indian Premier League","2020/21",-1,6,1,7,-0.36,-5,2,54,27,-21.87,-0.19,-0.81,12,27,-0.14,-0.05,5.14,6,-6,-22.22,34,-0.18,-0.65,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","A","Tye","A  Tye","Andrew Tye","BOW","Bowler",100,140,-0.04,-0.06,-0.16,-0.22,6,8,14,0.428571428571429
"48","AK Markram","Sunrisers Hyderabad","Indian Premier League","2022",54,381,8,277,86.12,-3,1,64,36,-24.15,-0.08,-0.67,10.67,64,0.19,0.31,8.25,47.62,51,61.97,313,0.16,0.2,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313480.logo.png","#130801","#F96F0F","A","Markram","A  Markram","Aiden Markram","BAT","Batter",260,346,0.15,0.2,0.18,0.24,6,8,14,0.428571428571429
"49","AK Markram","Sunrisers Hyderabad","Indian Premier League","2023",15,248,11,200,31.68,-5,1,71,49,-19.76,-0.1,-0.4,8.69,71,0.07,0.16,7.44,22.55,10,11.92,249,0.04,0.05,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313480.logo.png","#130801","#F96F0F","A","Markram","A  Markram","Aiden Markram","BAT","Batter",260,317,0.03,0.04,0.04,0.05,4,10,14,0.285714285714286
"50","AM Rahane","Chennai Super Kings","Indian Premier League","2023",57,326,10,193,127.17,0,0,0,0,0,0,0,NA,NA,0.3,0.66,10.13,32.6,57,127.17,193,0.3,0.66,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313421.logo.png","#07102C","#EADC04","A","Rahane","A  Rahane","Ajinkya Rahane","BAT","Batter",50,60,0.95,1.14,2.12,2.54,9,6,15,0.6
"51","AM Rahane","Delhi Capitals","Indian Premier League","2020/21",-86,113,8,113,9.43,0,0,0,0,0,0,0,NA,NA,-0.76,0.08,6,14.12,-86,9.43,113,-0.76,0.08,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Rahane","A  Rahane","Ajinkya Rahane","BAT","Batter",525,739,-0.12,-0.16,0.01,0.02,8,9,17,0.470588235294118
"52","AM Rahane","Delhi Capitals","Indian Premier League","2021",-1,8,1,9,0.02,0,0,0,0,0,0,0,NA,NA,-0.11,0,5.33,8,-1,0.02,9,-0.11,0,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Rahane","A  Rahane","Ajinkya Rahane","BAT","Batter",525,719,0,0,0,0,9,7,16,0.5625
"53","AM Rahane","Kolkata Knight Riders","Indian Premier League","2022",-2,133,7,131,7.09,0,0,0,0,0,0,0,NA,NA,-0.02,0.05,6.09,19,-2,7.09,131,-0.02,0.05,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","A","Rahane","A  Rahane","Ajinkya Rahane","BAT","Batter",100,133,-0.02,-0.02,0.05,0.07,6,8,14,0.428571428571429
